ID | NAME | VISIT STATION | WAITING TICKET | TICKETING | TICKET FINISH | WAITING TRAIN | ARRIVAL
17 | 고객2017 | 7000 | 44001 | 8000 | Sun Sep 20 18:39:30 KST 2015 | 2047 | Sun Sep 20 18:39:44 KST 2015
18 | 고객2018 | 10000 | 52001 | 1000 | Sun Sep 20 18:39:31 KST 2015 | 1047 | Sun Sep 20 18:39:45 KST 2015
19 | 고객2019 | 10000 | 53001 | 1000 | Sun Sep 20 18:39:32 KST 2015 | 47 | Sun Sep 20 18:39:46 KST 2015
20 | 고객2020 | 10000 | 54001 | 5000 | Sun Sep 20 18:39:37 KST 2015 | 1052 | Sun Sep 20 18:39:50 KST 2015
21 | 고객2021 | 13000 | 59001 | 1000 | Sun Sep 20 18:39:38 KST 2015 | 52 | Sun Sep 20 18:39:51 KST 2015
22 | 고객2022 | 15000 | 60001 | 3000 | Sun Sep 20 18:39:41 KST 2015 | 57 | Sun Sep 20 18:40:02 KST 2015
23 | 고객2023 | 15000 | 63001 | 1000 | Sun Sep 20 18:39:42 KST 2015 | 2060 | Sun Sep 20 18:40:03 KST 2015
24 | 고객2024 | 15000 | 64001 | 2000 | Sun Sep 20 18:39:44 KST 2015 | 60 | Sun Sep 20 18:40:05 KST 2015
25 | 고객2025 | 19000 | 66001 | 3000 | Sun Sep 20 18:39:47 KST 2015 | 61 | Sun Sep 20 18:40:06 KST 2015
26 | 고객2026 | 19000 | 69001 | 3000 | Sun Sep 20 18:39:50 KST 2015 | 63 | Sun Sep 20 18:40:07 KST 2015
27 | 고객2027 | 19000 | 72001 | 1000 | Sun Sep 20 18:39:51 KST 2015 | 2066 | Sun Sep 20 18:40:08 KST 2015
28 | 고객2028 | 19000 | 73001 | 1000 | Sun Sep 20 18:39:52 KST 2015 | 1067 | Sun Sep 20 18:40:09 KST 2015
29 | 고객2029 | 19000 | 74001 | 7000 | Sun Sep 20 18:39:59 KST 2015 | 71 | Sun Sep 20 18:40:14 KST 2015
30 | 고객2030 | 20000 | 81001 | 2000 | Sun Sep 20 18:40:01 KST 2015 | 1072 | Sun Sep 20 18:40:15 KST 2015
31 | 고객2031 | 22000 | 83001 | 3000 | Sun Sep 20 18:40:04 KST 2015 | 1071 | Sun Sep 20 18:40:32 KST 2015
32 | 고객2032 | 22000 | 86001 | 2000 | Sun Sep 20 18:40:06 KST 2015 | 2076 | Sun Sep 20 18:40:33 KST 2015
33 | 고객2033 | 25000 | 88001 | 1000 | Sun Sep 20 18:40:07 KST 2015 | 1076 | Sun Sep 20 18:40:34 KST 2015
34 | 고객2034 | 25000 | 89001 | 1000 | Sun Sep 20 18:40:08 KST 2015 | 76 | Sun Sep 20 18:40:35 KST 2015
35 | 고객2035 | 25000 | 90001 | 2000 | Sun Sep 20 18:40:10 KST 2015 | 1078 | Sun Sep 20 18:40:36 KST 2015
36 | 고객2036 | 25000 | 92001 | 2000 | Sun Sep 20 18:40:12 KST 2015 | 2083 | Sun Sep 20 18:40:37 KST 2015
37 | 고객2037 | 25000 | 94001 | 3000 | Sun Sep 20 18:40:15 KST 2015 | 2086 | Sun Sep 20 18:40:38 KST 2015
38 | 고객2038 | 28000 | 97001 | 1000 | Sun Sep 20 18:40:16 KST 2015 | 1086 | Sun Sep 20 18:40:39 KST 2015
39 | 고객2039 | 29000 | 98001 | 4000 | Sun Sep 20 18:40:20 KST 2015 | 87 | Sun Sep 20 18:40:40 KST 2015
40 | 고객2040 | 30000 | 102001 | 1000 | Sun Sep 20 18:40:21 KST 2015 | 2092 | Sun Sep 20 18:40:47 KST 2015
41 | 고객2041 | 35000 | 103001 | 2000 | Sun Sep 20 18:40:23 KST 2015 | 92 | Sun Sep 20 18:40:48 KST 2015
42 | 고객2042 | 35000 | 105001 | 9000 | Sun Sep 20 18:40:32 KST 2015 | 98 | Sun Sep 20 18:40:49 KST 2015
43 | 고객2043 | 35000 | 114001 | 2000 | Sun Sep 20 18:40:34 KST 2015 | 1099 | Sun Sep 20 18:40:50 KST 2015
44 | 고객2044 | 35000 | 116000 | 2000 | Sun Sep 20 18:40:36 KST 2015 | 2102 | Sun Sep 20 18:40:56 KST 2015
45 | 고객2045 | 35000 | 118000 | 3000 | Sun Sep 20 18:40:39 KST 2015 | 2102 | Sun Sep 20 18:40:57 KST 2015
46 | 고객2046 | 37000 | 121000 | 2000 | Sun Sep 20 18:40:41 KST 2015 | 102 | Sun Sep 20 18:40:58 KST 2015
47 | 고객2047 | 40000 | 123000 | 1000 | Sun Sep 20 18:40:42 KST 2015 | 2105 | Sun Sep 20 18:40:59 KST 2015
48 | 고객2048 | 41000 | 124000 | 3000 | Sun Sep 20 18:40:45 KST 2015 | 2109 | Sun Sep 20 18:41:23 KST 2015
49 | 고객2049 | 42000 | 127000 | 1000 | Sun Sep 20 18:40:46 KST 2015 | 1109 | Sun Sep 20 18:41:35 KST 2015
50 | 고객2050 | 42000 | 128000 | 5000 | Sun Sep 20 18:40:51 KST 2015 | 2116 | Sun Sep 20 18:41:36 KST 2015
